Common Name,Botanical Name,Family,Description
West-Himalayan Silver Fir,Abies pindrow,Pinaceae," West-Himalayan Silver Fir is a slender pyramidal
tree which can grow up to 50 m tall, but generally smaller. Upper
branches are horizontal and branchlets horizontal and flattened.  Bark
is longitudinally deeply grooved. It is distinguished by the branchlets
which are hairless in the grooves, and by the leaves borne on the upper
part of the branchlets, erect or directed forward, loosely overlapping.
Tips of the leaves have two sharp tapering points.  Leaves are 4-7 cm
long, shining dark green above, with two faint silvery line beneath.
Cones are dark purple, erect, cylindrical, 10-20 cm long, 4-7.5 cm in
diameter. West-Himalayan Silver Fir is found in the Himalayas, from
Afghanistan to W. Nepal, at altitudes of 2100-3600 m. Flowering:
April-May. "
Himalayan Silver Fir,Abies spectabilis,Pinaceae," Himalayan Silver Fir is a pyramidal tree, growing up to 50 m or more tall. 
Upper branches are horizontal. Bark is dark grey, deeply grooved. Leaves 
are linear, up to 4 cm long, flattened with incurved margin. Young 
branchlets have hairy grooves. Cones are erect, cylindrical, 10-20 cm long, 
dark purple. Himalayan Silver Fir is found in the Himalayas, Himachal 
Pradesh, Jammu and Kashmir, Uttarakhand to Nepal, at altitudes of 
2800-4000 m. Flowering: April-June. "
Showy Rosary Pea,Abrus pulchellus,Fabaceae," Showy Rosary Pea is a climbing liana with stem
slender, sparsely yellow hairy. Leaves are pinnate, alternate. Leaflets
are 6-10-paired, op­posite. Leaflet-stalks are short, blades oblong,
or obovate-oblong, 0.5-3 x 0.3-1 cm, membranous, sparsely white bristly
or densely white hairy below, hairless or hairy above, rounded or
heart-shaped at base, flat and with mucro at the tip. Flower racemes
are borne in leaf axils, 3-10 cm long. Flowers are dense, 3-9 mm. Sepal
cup is bell-shaped, 4-toothed, white bristly or densely gray hairy.
Flowers are pink, purple, or purple-red. Stamens are 9. Seed-pods is
ob­long, 5-6.5 x 0.8-1.5 cm, densely white hairy, splitting open with
4-12 seeds. Seeds are black-brown or black, lustrous to slightly
lustrous, elliptic or ovoid, compressed. Showy Rosary Pea is found in
tropical Himalayas, India, Ceylon, SE Asia and China, at altitudes of 
200-1300 m. "
Hairy Indian Mallow,Abutilon hirtum,Malvaceae," Hairy Indian Mallow is an perennial herb or undershrub,
0.5-2 m tall.  Flowers arise singly in leaf axils, carried on 
1.5-3 cm long stalks which elongate up to 4 cm in fruit. Sepals are ovate, 
long pointed, velvety. Flowers are 3-3.5 cm across, orange-yellow with a
purple center. Petals are 1.5 cm long and 1 cm broad, hairless inside,
hairy outside, broadly obovate. The column of stamens is 5-8 mm long,
1-1.3 cm long, 1.5-2 cm across.
Stem, leaf-stalks and flower-stalks are sticky velvety and hairy. Leaves 
are carried on 3-15 cm long stalks. Stipules are 5-10 mm long, 1.5-2 mm 
broad, falcate, lanceolate, eventually reflexed. Leaf blades are 4-18 cm 
long and broad, densely hairy hairy on both sides, usually broadly ovate 
or ovate, heart-shaped at base, coarsely toothed. Leaves are yellowish, 
yellowish green to green.
Hairy Indian Mallow is widespread in India.
 "
Persian Mallow,Abutilon persicum,Malvaceae," Persian Mallow is a large erect shrub, growing up to
1-2 m high. It has few slender branches. Ovate, irregularly toothed
leaves are alternately arranged on the stems, up to 15 cm long. Leaves
are hairy beneath. Large, showy, 5-petalled, orange-yellow flowers are
5-8 cm across, and occur on racemes at the end of branches. The petals
have purple lines at the base. Persian Mallow is found in NE India,
Kashmir, Madhya Pradesh, Maharastra, Rajasthan, Uttar Pradesh, Tamil
Nadu, Western Ghats, Tropical Himalayas; Africa, Myanmar, Malaysia.
Flowering: November-January.  
"
Sticky Indian Mallow,Abutilon ramosum,Malvaceae," Sticky Indian Mallow is a perennial, 1-2 m tall herb
or shrub. Branches are hairy or sticky-hairy.  Flowers are yellow, 1.5
cm across; petals 1.0-1.2 cm long. Staminal column very short, finely
velvet-hairy.  Calyx is 5-7 mm long, fused up to the middle; sepals
detoid-ovate, tapering-cuspidate, 3-5. mm broad, velvet-hairy, sticky.
Flowers are borne in leaf-axils or at branch-ends, solitary or paired
or divided above dichotomously as in cyme. Flower-cluster-stalk is
1.5-4.5 cm long, woolly and mixed with a few simple, weak, spreading
hairs. Flower-stalk in solitary 3-4 cm long, articulate above the
middle, in cyme 3-6 mm long. Leaves have 3-10 cm long, velvet-hairy
leaf-stalks, stipules 6-10 mm long, thread-like-linear, hairy. Leaves
are 3-13 cm long, 2-11 cm broad, papery, broadly ovate, tapering,
heart-shaped at base, coarsely rounded toothed or sawtoothed up to the
base, velvet-hairy to becoming hairless on both sides, sometimes
3-angular. Fruit is cylindric, 8 mm long,  5-6 mm broad, velvet-hairy,
slightly sticky. Sticky Indian Mallow is found	in Tropical Africa,
India and Pakistan.  
"
Son Ghanta,Abutilon ranadei,Malvaceae," Son Ghanta is one of the critically endangered plant species of the 
Western Ghats. It is endemic and restricted to four districts of 
Maharashtra State. This endangered species was named after N. B. Ranade 
who was the keeper of the Herbarium at the College of Science, Pune, who 
died of the plague in 1897. It is a shrub 3-5 ft tall characterized by 2 
inch long bell-like hanging golden yellow flowers. The five petals are 4 
cm long, orange yellow, veined with purple. Stamens are united at the base 
into a tube 2.5 cm long. Styles are 5, longer than the stamens. 
Alternately arranged leaves, 10-20 cm long, are heart-shaped, 
long-pointed, with toothed margins. Fruit is 2 cm long, hairy and ribbed. 
Flowering: January-February. "
Buttonweed,Abutilon theophrasti,Malvaceae," Buttonweed is an annual herb, native to S. Asia. It
grows up to 1 m tall, and has velvet-like heart-shaped leaves 15-25 cm
broad. The flowers are yellow or orange, 4 cm across, maturing into
button-shaped capsules which split lengthwise to release the seeds. The
flowers and plants have a fruity scent. Velvetleaf grows primarily in
cropland, especially corn fields, and it can also be found on roadsides
and in gardens. Velvetleaf prefers rich and cultivated soils, such as
those used in agriculture. Velvetleaf has been grown in China since
around 2000 BCE for its strong, jute-like fibre. The leaves are edible,
stir-fried or in omelette. The seeds are eaten in China and Kashmir.
"
Earleaf Acacia, Acacia auriculiformis,Mimosaceae,"
Earleaf Acacia is an evergreen, unarmed tree to 15 m (50 ft) tall, with compact
spread, often multi-stemmed; young growth glaucous. Leaves alternate, simple,
reduced to phyllodes (flattened leaf stalks), these blade-like, slightly
curved, 5-8 in long.  Flowers in loose, yellow-orange spikes at leaf axils or
in clusters of spikes at stem tips; flowers mimosa-like, with numerous free
stamens. Fruit a flat, oblong pod, twisted
at maturity.  It's roots are very strong and
can break through concrete, ruining sidewalks and driveways and pushing out
other vegetation. Used for the cultivation of the lac insect in India. 
This plant is native to southeast Asia, Indonesia, Papua New
Guinia and Australia. "
Formosa Acacia,Acacia confusa,Mimosaceae," Formosa Acacia is a small tree native to Northern Philippines. Adult 
plants show leaf-like phyllodes, while the juvenile one have foliage of 
bipinnate leaves. The trunk can grow up to 1 m thick in very old trees, 
however, generally it is smaller. Phyllodes are alternate, leathery, 
parallel-curving-veined, 8-10 cm long, narrowed at both ends. Yellow 
flowers arise in small spherical heads 6-8 mm in diameter. The flowers 
heads occur singly or in twos in axil of phyllodes. Pods are borne few 
together, linear or somewhat curved, flat or slightly twisted, brown, 5-10 
cm long, 1 cm broad, with about 8 seeds. "
Soapbush Wattle,Acacia holosericea,Fabaceae," Soapbush Wattle is an attractive small shrub to 3 m
with yellow flower spikes around 5 cm long. The large soft silvery grey
phyllodes (leaves) make it an attractive foliage plant. The large
grey-green phyllodes have an ovate-lanceshaped shape with a length of
10-25 cm and a width of 2-9 cm and are covered with white silky hairs,
with three to four prominent veins. The flowers are rod-like and bright
yellow, 3-5 cm long. The thinly crustaceous seed pods that form after
flowering are tightly irregularly coiled and have a width of 2.5-4 mm.
The pods are 3-5 cm long and twisted and curled. The soft leaves of
Soapbush Wattle can be used as bush soap, producing a soapy form when
rubbed in water. The raw seeds can be roasted in hot ashes or collected
when dry and ground to a flour base. This flour can then be mixed with
water and made into a paste or baked as damper. Fast growing, good for
screening. Soapbush Wattle is endemic to Queensland and the Northern
Territory, cultivated elsewhere. 
"
Hickory Wattle,Acacia mangium,Mimosaceae," Hickory Wattle is a fast-growing, medium-sized, evergreen tree with expanded 
petioles that serve as leaves. Trees reach 30 m in height in their native 
range. The stem is usually straight and topped with a symmetrical crown of 
relatively light limbs; the lower bole is often fluted. The bark is reddish 
brown and lightly furrowed. Leaves (actually phyllodes) are 10-20 cm long,
5-10 cm broad, narrowly ellipti to elliptic, prominently veined, light or dark green.
The small flowers are grouped in spikes up to 6-10 
cm long, singly or in pairs in the leaf axils near the branch tips. The trees 
flower annually, usually at the end of the rainy season or the early part of 
the dry season.  "
Black Wattle,Acacia mearnsii,Mimosaceae," Black Wattle is an erect, unarmed, evergreen shrub or tree mostly 3-10 m 
tall, sometimes taller, up to 20 m. The branchlets are shallowly ridged; 
all parts finely hairy; growth tips golden-hairy. Leaves are dark olive-
green, finely hairy, double-compound. Leaflets are short, 1.5-4 mm, 
crowded. Raised glands occur at and between the junctions of pinnae pairs. 
Flowers are pale yellow or cream, spherical flower heads in large, 
fragrant sprays. Fruits is dark brown pods, finely hairy, usually markedly 
constricted. Black Wattle is native to Southeastern Australia  and 
Tasmania. It has been introduced to numerous parts of the world, and in 
those areas is often used as a commercial source of tannin or a source of 
firewood for local communities.  "
Australian Blackwood,Acacia melanoxylon,Mimosaceae," Australian Blackwood is an erect or spreading tree
6-30 m tall. Bark is deeply fissured, dark gray-black, branchlets
angled or flattened, hairy or hairless. Leaves (phyllodes actually) are
narrowly elliptic to inverted-lanceshaped, straight or somewhat
sickleshaped, 6-14 cm long, 0.7-3 cm wide, hairless, 3-5 or more
longitudinal veins prominent, prominently net-veined in between, tip
pointed to blunt, with a small point. There is 1 gland near base.
Inflorescences occur 2-8 in racemes in leaf axils. Axis is 2.5-8 cm
long; peduncles 5-20 mm long, hairy. Flower-heads are spherical,
30–50-flowered, 5-10 mm in diameter, pale yellow to  white. Pods are
strongly curved or twisted or coiled, biconvex, usually straight-sided
to slightly constricted between seeds, 4-12 cm long, 5-8 mm wide,
firmly papery, smooth, glabrous. Seeds are longitudinal, funicle orange
to reddish, folded and surrounding seed. Australian Blackwood is native
to Australia, but now natualized on all continents. Flowering:
July-December. "
Asian Copperleaf,Acalypha australis,Euphorbiaceae," Asian Copperleaf is an annual herb, growing up to
20-50 cm tall. Its leaves are blong-ovate, rhombic-ovate, to
broad-lanceshaped, 3-9 cm long, 1-5 cm	wide and borne on leaf-stalks
2-6 cm long. Flowers are borne in panicles in leaf-axils, or at
branch-ends, forming inflorescences 1.5-5.0 cm long. There are 1-3
female flowers and 5-7 male flowers per bract; the female flowers have
three sepals, whereas the male flowers have four. Asian Copperleaf is
native to  Eastern Himalayas, China, Japan, Korea, Laos, Manchuria,
Nansei-shoto, Philippines, Primorye, Taiwan, Vietnam, in grasslands,
slopes, cultivated areas, at altitudes of 100-1900 m. It is widely
cultivated, and also naturalized.  
"
Alder Leaved Cat Tail,Acalypha capitata,Euphorbiaceae," Alder Leaved Cat Tail is a shrub which belongs to the genera of plants 
which go by the name of Cat-tail and Copperleaf. It is a bushy shrub 
growing up to 3 m tall. Elliptic-ovate leaves are 2-2.5 cm long, 1.5-2 cm 
broad. Flowers are borne in slender, cylindrical spikes up to 8 cm long, 
usually in the axils of lower leaves. This is a plant found wild in South 
India. Flowering: February-April.

 "
Fringed Acalypha,Acalypha ciliata,Euphorbiaceae," Fringed Acalypha is an erect herb with branches
velvet-hairy. Leaves are up to 7 x 4 cm, ovate, wedge-shaped,
membranous, tapering at tip, base rounded, sparsely puberulus, margin
fringed with hairs; leaf-stalk up to 5 cm. Flowers are borne in spikes
in leaf-axils, up to 2 cm. Sepals are 4, velvet-hairy; female flowers
crowded below; bracts 5 mm, bell-shaped, velvet-hairy about 12-15
toothed, fringed with hairs, ovary 1.5 mm; male flowers on the upper
half minute. Capsules are 3 mm across, smooth. Fringed Acalypha is
found throughout Paleotropics, including South India. Flowering:
November-August.  
"
Birch-Leaved Cat Tail,Acalypha fruticosa,Euphorbiaceae," Birch-Leaved Cat Tail is an erect, profusely
branched shrub. Leaves are 2-5 x 1-3 cm, ovate, base flat or somewhat
heart-shaped, margin rounded-toothed, sawtoothed, tip tapering, hairy
on both sides, aromatic, glandular below, glands orange. Leaf-stalks
are up to 3 cm long. Flowers are borne in short spiked in leaf-axils,
solitary, androgynous, up to 2 cm long. Tepals woolly, with stalkless
glands outside. Stamens many; anthers sub-spherical to oblong. Female
flowers are stalkless, bracts kidney-shaped, margin toothed, ovary to
0.5 mm across; styles many. Capsules is trilobed. Birch-Leaved Cat Tail
is globally distributed in Tropical Africa to India, Myanmar and Sri
Lanka. Flowering: July-August . 
"
Indian Copperleaf,Acalypha indica,Euphorbiaceae," Indian Copperleaf is a small erect herb, growing up to 60 cm or more. The 
ascending branches are angled and velvet-hairy. Leaves are broadly ovate, 
nearly triangular, rather coarsely toothed. Leaf stalks are as long as or 
longer than the 3-5 cm long blades. Flowers are stalkless, borne on erect 
axillary spikes longer than the leaves. Male flowers are minute, crowded 
distally. Female flowers are scattered along the inflorescence axis, each 
subtended by a conspicuous semicupular leaf-like toothed green bract 
nearly 7 mm long. Capsule is bristly, 1 mm broad. "
Toothed Bract Indian Copperleaf,Acalypha lanceolata,Euphorbiaceae," Toothed Bract Indian Copperleaf is an erect annual herb 10-100 cm tall. 
Male and female flower reside on the same plant. Stems are longitudinally 
grooved, velvety. Alternately arranged leaves are ovate 1-8 cm long, 0.8-5 
cm wide, pointed to long-pointed at the tip, rounded at the base. Leaf 
margins are coarsely toothed, surfaces densely velvety, gland-dotted. 
Leaf-stalks is 0.5-5 cm long. Flowers are born in 1-4 spikes, 0.5-3 cm 
long, in leaf axils. The flowers lower on the spike are female, upper ones 
male. Male flowers are minute, less than 0.5 mm in diameter, clustered.  
Female flowers are subtended by a cup-shaped bract 1.5-3 mm long with a 
toothed margin. Fruit is a velvety, 3-lobed pod, 1-2 mm long, splitting 
into 3 one-seeded segments. Toothed Bract Indian Copperleaf is native to 
Indian subcontinent, Arabian Peninsula, China and parts of Africa.
Flowering: March-October. "
Malabar Copperleaf,Acalypha malabarica,Euphorbiaceae," Malabar Copperleaf is an erect herb about 40 cm
tall. Branchlets are thinly velvet-hairy. Leaves are ovate-lanceshaped,
1-3 cm long, 1-1.5 cm broad. Leaves are rough on the surface, base
wedge-shaped, tip pointed, and margin toothed. Flowers are borne in
leaf axils, in spikes, greenish-yellow. Capsules are hairless, with 3
seeds. Flowering: September-November. "
Panicled Acalypha,Acalypha paniculata,Euphorbiaceae," Panicled Acalypha is an erect, shrubby, perennial
herb, up to 1 m tall, with branchlets minutely velvet-hairy. Leaves are
4-8 x 2-5 cm, broadly ovate, base rounded or somewhat heart-shaped,
margin rounded toothed-sawtoothed, tip tapering, sparsely hispid,
membranous, basally 3-5 nerved; leaf-stalk up to 7 cm long. Flowers are
monoecious. Male flowers are borne in slender spiked in leaf-axils,
6-10 cm long, flowers very minute; tepals 4; stamens 8 on a convex
receptacle, anthers linear. Female flowers are borne in panicles at
branch-ends; bracts minute,ovate; tepals 3-6; ovary 3-lobed, 3-locular;
ovule 1-per locule; styles thread-like in 3 groups of 3 each. Capsules
are 1.5-2 mm across, with 3 cocci. seeds spherical. Panicled Acalypha
is found in Indo-Malesia and Tropical Africa. Flowering:
August-December. 
"
Siamese Acalypha,Acalypha siamensis,Euphorbiaceae," Wild Tea is a shrub growing up to 2.5 m tall. Its
leaves are alternately arranged, with blades that are elliptic to
obovate, and toothed along the margins. The bisexual spike bears female
flowers subtended by large bracts with toothed margins at the lower
end, and male flowers subtended by minute bracts towards the tip.
Flowering occurs almost throughout the year from January to November.
The globose to oblate fruits are trilobed and covered with spines.
Dispersal of Acalypha species has not been well studied, but the
typical explosively dehiscent fruits in the family Euphorbiaceae and
the spines on its fruits suggest that Acalypha siamensis may spread
mechanically and/or by animals. Wild Tea is found in Thailand, Vietnam,
Peninsular Malaysia, Sumatra, and Sulawesi.
"
Keeled Acampe,Acampe carinata,Orchidaceae," Keeled Acampe is an orchid found growing on trees,
with stem curved, up to 45 cm long, roots twisted, prominent. Leaves
are 15-20 x 1.5 cm, blunt, often entire or slightly notched with a
mucro. Flowers are borne in corymb-like racemes, up to 4 cm long.
Flowers are 8 mm in diameter, sepals and petals nearly equal, each with
pointed tips. Lip is larger than the sepals; lip ovate or ovate-oblong,
margin entire, the upper surface wholly covered with hairs. Keeled
Acampe is found in  India, Nepal, Bhutan, Thailand; Cambodia, Laos and
Vietnam. 
"
Ochre-Yellow Acampe,Acampe ochracea,Orchidaceae," Ochre-Yellow Acampe is a small to large sized, hot
to warm growing orchid growing on trees, with an erect to pendulous
stem enveloped completely by many leaf-bearing sheaths. Leaves are
16-19 x 2 cm, oblong, keeled, obliquely bilobulate at tip. Flowers are
yellow, 1.5 x 1.5 cm, in 10-20 cm long, in raceme-like panicles in leaf
axils. Dorsal sepal is 7 x 2 mm, obovate, blunt, 5-veined; lateral
sepals 6 x 1-2 cm, obliquely oblong, pointed, 3-veined; petals 7 x 1-2
mm, obovate-oblong or spoon-shaped, 6-veined; lip 4 x 2 mm, triangular,
blunt, papillate, with 5 x 1 mm, cylindrical spur. Ochre-Yellow Acampe
is found in Bhutan, Cambodia, NE India & Western Ghats, Laos, Myanmar,
Sri Lanka, Thailand, Vietnam, at altitudes of 700-1200 m. 
"
Wight's Acampe,Acampe praemorsa,Orchidaceae," Acampe is a genus of seven orchid species
distributed from tropical Africa to India, eastwards to China and
southwards to Malaya, Indonesia, the Philippines and New Guinea. The
name Acampe was derived from the Greek word akampas, meaning ""rigid"",
referring to the little, brittle, inflexible flowers. Wight's Acampe is
a robust shrub growing on trees. Stem is stout, 20-50 cm high, with
vermiform roots from basal nodes. Leaves are distichous, 12-20 x 2-3
cm, linear, sheathing at base, tip unequally 2-lobed, thick, leathery.
Corymbs leaf-opposed; flower-cluster-stalk 3.5-5 cm long. Floral bracts
scaly, broadly round, broader than long. Flowers 0.8-1 cm across;
sepals and petals 0.8-1 x 0.3-0.5 cm,ovate-lanceshaped, creamy yellow
with reddish-brown transverse bands, thick, fleshy. Lip about 8 x 4 mm,
fleshy, creamy white with narrow red streaks, saccate at base, 3-lobed;
lateral lobes small; mid-lobe ovate-blunt, margin crispate; spur short.
Anther at branch-ends, 2-loculed; pollinia 2, spherical. Capsule to 4
cm long, cylindrical, ribbed. Wight's Acampe is found in Peninsular India,
Sri Lanka and E India. Flowering: March-April. 
"
Stiff Acampe,Acampe rigida,Orchidaceae," Stiff Acampe is a medium sized orchid  growing on
trees, with a stout,often branched stem carrying thick, stiffly rising
leaves which are unequally, yet minutely bilobed on the tip. The plant
blooms on an erect, shortly branched, 6 inches long, stout, few to
several flowered inflorescence. Flowers are yellow, barred with red,
1.8 cm broad. Flower-cluster-stalk with racemes is 15-20 cm long,
distantly branched, base with cup-shaped sheaths, branches short;
floral bracts small, annular, rounded. Sepals are broadly oblong,
blunt. Petals are small, obovate-oblong. Lip saccate, lateral lobes
short, midlobe ovate, blunt, channelled in the middle, sac short,
rounded with a vertical hairy plate projecting in the hollow opposite
the column; column short, stout; foot absent. Anther at branch-ends,
2-loculed; pollinia 2, spherical deeply bipartite. Stiff Acampe is
found in China, Taiwan, Assam, Bangladesh, Easterrn Himalayas, India,
Nepal Sri Lankha, Western Himalayas, Cambodia, Myanamar, Thailand,
Vietnam, Malaysia and the Philippines at elevations of 400-800 m.  
"
Jug Flower Orchid,Acanthephippium bicolor,Orchidaceae," Jug Flower Orchid is a terrestrial orchid with
pseudobulbs ovoid, 5-14 x 2-5 cm. Leaves are 2 or 3, 20-40 x 6-12 cm,
broadly lanceshaped, tapering. Flowers are yellow with purplish red,
3.5 cm across, in 2-5-flowered racemes from the top of new pseudobulbs;
bracts 3.5 x 3, boat-shaped. Sepals fused to form a swollen tube;
dorsal sepals 3.2 x 1.1 cm, oblong, blunt; lateral sepals as long as or
broader than dorsal sepal, fused with the foot along their inner edges
forming the base of the pitcher, blunt, recurved at tip. Petals are 3.1
x 1.5 cm, spoon-shaped, blunt. Lip is 3-lobed, 1.5 x 2 cm, lateral
lobes erect, rounded; midlob recurved, oblong-spoon-shaped, blunt, disc
3-lamellate. Jug Flower Orchid is found in South India, Sri Lanka and
New Guinea.
Flowering: March-April.  
"
